session_slug,track,solver,instance,event_index,elapsed,objective
baseline,XCSP3-2025-COP25,ortools,AlteredStates-02_c25.xml.lzma,0,1.601994514465332,0.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-02_c25.xml.lzma,1,1.6104848384857178,7.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-06_c25.xml.lzma,0,26.92686104774475,0.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-06_c25.xml.lzma,1,27.19961166381836,8.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-06_c25.xml.lzma,2,27.38582706451416,34.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-06_c25.xml.lzma,3,28.031272649765015,40.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-06_c25.xml.lzma,4,28.492159366607666,48.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-06_c25.xml.lzma,5,30.034520864486694,58.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-06_c25.xml.lzma,6,34.469040393829346,64.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-06_c25.xml.lzma,7,35.33933758735657,68.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-06_c25.xml.lzma,8,36.2127468585968,73.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-06_c25.xml.lzma,9,43.984864473342896,74.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-06_c25.xml.lzma,10,74.83971524238586,81.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-06_c25.xml.lzma,11,76.64338731765747,88.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-06_c25.xml.lzma,12,107.13907194137573,90.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-06_c25.xml.lzma,13,109.4759418964386,94.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-06_c25.xml.lzma,14,113.58517575263977,96.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-06_c25.xml.lzma,15,150.33051896095276,99.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-06_c25.xml.lzma,16,158.2602608203888,103.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-06_c25.xml.lzma,17,189.2682979106903,106.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-06_c25.xml.lzma,18,218.5774848461151,110.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-06_c25.xml.lzma,19,232.71596312522888,111.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-06_c25.xml.lzma,20,264.69911456108093,116.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-06_c25.xml.lzma,21,298.46344447135925,124.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-08_c25.xml.lzma,0,35.78019952774048,0.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-08_c25.xml.lzma,1,36.24461269378662,8.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-08_c25.xml.lzma,2,36.50763559341431,25.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-08_c25.xml.lzma,3,37.62556838989258,29.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-08_c25.xml.lzma,4,38.43638586997986,74.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-08_c25.xml.lzma,5,39.0470404624939,78.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-08_c25.xml.lzma,6,39.41128730773926,85.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-08_c25.xml.lzma,7,40.13546180725098,92.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-08_c25.xml.lzma,8,40.442708253860474,103.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-08_c25.xml.lzma,9,41.31960701942444,109.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-08_c25.xml.lzma,10,51.86454701423645,115.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-08_c25.xml.lzma,11,58.873464584350586,120.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-08_c25.xml.lzma,12,62.8077654838562,125.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-08_c25.xml.lzma,13,69.87900304794312,127.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-08_c25.xml.lzma,14,89.59535241127014,128.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-08_c25.xml.lzma,15,91.63757658004761,134.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-08_c25.xml.lzma,16,97.32077217102051,135.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-08_c25.xml.lzma,17,109.2662034034729,137.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-08_c25.xml.lzma,18,123.0609827041626,139.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-08_c25.xml.lzma,19,170.43454337120056,145.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-08_c25.xml.lzma,20,184.1726324558258,148.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-08_c25.xml.lzma,21,185.28875494003296,157.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-08_c25.xml.lzma,22,238.5282826423645,158.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-08_c25.xml.lzma,23,259.1646919250488,162.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-08_c25.xml.lzma,24,288.10871481895447,167.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-08_c25.xml.lzma,25,324.50561571121216,172.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-08_c25.xml.lzma,26,471.06622982025146,176.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-08_c25.xml.lzma,27,495.7050278186798,178.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-10_c25.xml.lzma,0,44.166969299316406,0.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-10_c25.xml.lzma,1,44.900044679641724,8.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-10_c25.xml.lzma,2,45.33813405036926,29.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-10_c25.xml.lzma,3,47.20769143104553,33.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-10_c25.xml.lzma,4,48.269532680511475,43.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-10_c25.xml.lzma,5,49.30941319465637,47.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-10_c25.xml.lzma,6,49.93297100067139,61.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-10_c25.xml.lzma,7,50.997005462646484,68.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-10_c25.xml.lzma,8,51.41376733779907,80.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-10_c25.xml.lzma,9,53.50859618186951,94.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-10_c25.xml.lzma,10,55.068796157836914,104.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-10_c25.xml.lzma,11,55.83640503883362,129.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-10_c25.xml.lzma,12,58.2814679145813,142.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-10_c25.xml.lzma,13,59.69478440284729,144.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-10_c25.xml.lzma,14,62.86813044548035,152.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-10_c25.xml.lzma,15,65.04031372070312,155.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-10_c25.xml.lzma,16,66.29789066314697,162.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-10_c25.xml.lzma,17,70.37141537666321,173.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-10_c25.xml.lzma,18,80.2352340221405,184.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-10_c25.xml.lzma,19,82.04977774620056,189.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-10_c25.xml.lzma,20,88.9989185333252,202.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-10_c25.xml.lzma,21,104.30479836463928,209.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-10_c25.xml.lzma,22,106.32896590232849,216.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-10_c25.xml.lzma,23,108.60697817802429,229.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-10_c25.xml.lzma,24,113.3014440536499,230.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-10_c25.xml.lzma,25,116.02497291564941,234.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-10_c25.xml.lzma,26,135.47302079200745,240.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-10_c25.xml.lzma,27,223.0869677066803,247.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-10_c25.xml.lzma,28,462.2633454799652,248.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-bis-02_c25.xml.lzma,0,1.4547967910766602,0.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-bis-02_c25.xml.lzma,1,1.8768596649169922,6785528.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-bis-02_c25.xml.lzma,2,1.9105956554412842,8147887.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-bis-02_c25.xml.lzma,3,2.001044988632202,9723408.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-bis-02_c25.xml.lzma,4,2.0455803871154785,9975897.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-bis-02_c25.xml.lzma,5,2.0528836250305176,18584976.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-bis-02_c25.xml.lzma,6,2.0579817295074463,21775345.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-bis-02_c25.xml.lzma,7,5.525695085525513,29145505.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-bis-06_c25.xml.lzma,0,11.426750183105469,0.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-bis-06_c25.xml.lzma,1,11.684833288192749,989948.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-bis-06_c25.xml.lzma,2,12.089879512786865,2960840.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-bis-06_c25.xml.lzma,3,12.6736581325531,9746368.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-bis-06_c25.xml.lzma,4,13.006814241409302,23052783.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-bis-06_c25.xml.lzma,5,13.09255862236023,34852231.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-bis-06_c25.xml.lzma,6,13.296134948730469,67102350.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-bis-06_c25.xml.lzma,7,13.672557830810547,69219872.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-bis-06_c25.xml.lzma,8,13.872214555740356,92892030.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-bis-06_c25.xml.lzma,9,15.070206642150879,97192269.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-bis-06_c25.xml.lzma,10,15.676109313964844,104897550.0
