order,slug,name,created_at,last_run_at,cpmpy_commit,active,tracks,solved,total,time_limit
1,cpmpy_Table_extension,cpmpy Table extension,2026-06-05T17:29:52,,3b563c66 — fix regular and pass custom positives to recursive calls,true,XCSP3-2025-CSP25,24,26,600.0
2,xglobals_Baseline,xglobals Baseline,2026-06-05T15:25:25,2026-06-05T17:16:08,0e7b2159 — Fix xglobals import,false,XCSP3-2025-CSP25,219,600,600.0
3,Baseline,Baseline,2026-06-05T15:18:53,,3b563c66 — fix regular and pass custom positives to recursive calls,true,XCSP3-2025-CSP25,22,26,600.0
4,Forse_Regular_via_table_linear,Forse Regular via table (linear),2026-06-05T14:30:43,2026-06-05T15:06:44,0e7b2159 — Fix xglobals import,true,XCSP3-2025-CSP25,64,218,600.0
5,Regular_via_table,Regular via table,2026-06-05T13:50:52,2026-06-05T14:27:45,0e7b2159 — Fix xglobals import,false,XCSP3-2025-CSP25,46,200,600.0
6,Disable_regular_linearise,Disable regular linearise,2026-06-05T12:34:06,2026-06-05T13:10:17,0e7b2159 — Fix xglobals import,false,XCSP3-2025-CSP25,47,200,600.0
7,xglobals_regular,xglobals regular,2026-06-05T10:58:49,2026-06-05T12:29:54,0e7b2159 — Fix xglobals import,false,XCSP3-2025-CSP25,105,400,600.0
8,DFA_decomp_regular,DFA decomp regular,2026-06-05T09:36:53,2026-06-05T10:52:17,0e7b2159 — Fix xglobals import,false,XCSP3-2025-CSP25,58,200,600.0
9,Rsync_fix,Rsync fix,2026-06-05T07:28:44,2026-06-05T09:20:36,6e486806 — Merge remote-tracking branch 'origin/save_reification_to_csemap' into xcsp3_26,false,XCSP3-2025-CSP25,223,600,600.0
10,New_New_Baseline_Final_Sprint_CSE_map_fix,New New Baseline Final Sprint (CSE map fix),2026-06-05T01:33:41,2026-06-05T04:59:35,"009dbfd9 — Revert ""Selective channels linear solvers xcsp3 (#1008)""",false,XCSP3-2025-CSP25,279,1200,600.0
