session_slug,session_name,track,solver,sat,unsat,timeout,oom,error,unknown,total,checker_valid,checker_invalid,checker_skipped
Regular_via_table,Regular via table,XCSP3-2025-CSP25,pindakaas,30,16,17,67,0,58,188,106,0,82
Disable_regular_linearise,Disable regular linearise,XCSP3-2025-CSP25,pindakaas,31,16,28,73,0,52,200,103,0,97
xglobals_regular,xglobals regular,XCSP3-2025-CSP25,gurobi,42,16,59,13,0,70,200,162,0,38
xglobals_regular,xglobals regular,XCSP3-2025-CSP25,pindakaas,31,16,24,74,0,55,200,105,0,95
DFA_decomp_regular,DFA decomp regular,XCSP3-2025-CSP25,gurobi,42,16,58,13,0,71,200,163,0,37
Rsync_fix,Rsync fix,XCSP3-2025-CSP25,gurobi,42,16,67,8,0,67,200,165,0,35
Rsync_fix,Rsync fix,XCSP3-2025-CSP25,ortools,87,27,2,11,0,73,200,188,0,12
Rsync_fix,Rsync fix,XCSP3-2025-CSP25,pindakaas,35,16,35,62,0,52,200,111,0,89
New_New_Baseline_Final_Sprint_CSE_map_fix,New New Baseline Final Sprint (CSE map fix),XCSP3-2025-CSP25,exact,35,13,63,10,44,35,200,86,0,114
New_New_Baseline_Final_Sprint_CSE_map_fix,New New Baseline Final Sprint (CSE map fix),XCSP3-2025-CSP25,gurobi,31,14,38,3,44,70,200,136,0,64
New_New_Baseline_Final_Sprint_CSE_map_fix,New New Baseline Final Sprint (CSE map fix),XCSP3-2025-CSP25,highs,21,10,45,12,44,68,200,103,0,97
New_New_Baseline_Final_Sprint_CSE_map_fix,New New Baseline Final Sprint (CSE map fix),XCSP3-2025-CSP25,ortools,76,24,5,11,14,70,200,174,0,26
New_New_Baseline_Final_Sprint_CSE_map_fix,New New Baseline Final Sprint (CSE map fix),XCSP3-2025-CSP25,pindakaas,17,13,22,55,44,49,200,82,0,118
New_New_Baseline_Final_Sprint_CSE_map_fix,New New Baseline Final Sprint (CSE map fix),XCSP3-2025-CSP25,scip,14,11,56,20,47,52,200,95,0,105
New_Baseline_Final_Sprint,New Baseline Final Sprint,XCSP3-2025-CSP25,gurobi,31,15,41,3,44,66,200,136,0,64
New_Baseline_Final_Sprint,New Baseline Final Sprint,XCSP3-2025-CSP25,scip,11,4,0,2,3,1,21,15,0,6
Undo_selective_channels_linear_solvers,Undo selective channels linear solvers,XCSP3-2025-CSP25,gurobi,17,7,0,2,3,0,29,24,0,5
Safe_reification_to_CSE_map,Safe reification to CSE map,XCSP3-2025-CSP25,exact,35,13,71,5,44,32,200,85,0,115
Safe_reification_to_CSE_map,Safe reification to CSE map,XCSP3-2025-CSP25,gurobi,31,15,38,5,44,67,200,133,0,67
Safe_reification_to_CSE_map,Safe reification to CSE map,XCSP3-2025-CSP25,highs,2,1,0,0,0,1,4,3,0,1
Safe_reification_to_CSE_map,Safe reification to CSE map,XCSP3-2025-CSP25,pindakaas,17,13,24,57,44,45,200,78,0,122
